,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
272,1.0,False,2023-08-20T13:00:00Z,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,4.0,0.3,59,-25180.0,60702.0,896.0,26076.0,Dominic Calvert-Lewin,58.0,FWD,Everton,3,0.0,Sheffield Utd,17,20,3.989181879648411,0,2.0,1.0,40.0,1166.0,22.0,122.4,138.4,409.0,2.0,89.0,66.4,4.0,0.0,3.0,0.3,79.0,,2023-24,0.0,0.0,0.5,0.0,0.8,1.0,0.0,0.15,0.0,18.5,0.0,0.0,0.0,0.0,0.0,72742.0,2.0,0.5,448.0,13038.0,59.5,0.0,0.5,0.8,0.15,0.0,18.5,12040.0,2.0,0.5,448.0,13038.0,0.5
89,5.0,False,2023-08-19T14:00:00Z,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.2,21.6,18.0,5.6,65,-10112.0,260913.0,15961.0,26073.0,Dominic Solanke,65.0,FWD,Bournemouth,3,0.0,Brentford,15,9,4.166666666666667,0,6.0,10.0,130.0,2865.0,52.0,279.9,524.8,1046.0,14.0,339.0,184.4,8.0,0.0,2.0,3.6,56.0,,2023-24,0.5,0.5,16.5,0.0,22.3,2.0,0.5,9.6,28.4,90.0,0.0,0.0,0.0,0.0,0.0,256516.5,45.0,6.0,7980.5,13036.5,65.0,0.5,5.5,0.6999999999999993,4.0,12.200000000000001,0.0,4396.5,27.0,1.0,7980.5,13036.5,0.0
350,5.0,True,2023-08-19T14:00:00Z,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.2,15.9,22.0,5.3,70,-10856.0,340429.0,26038.0,36894.0,Dominik Szoboszlai,70.0,MID,Liverpool,3,3.0,Aston Villa,5,7,4.11522633744856,3,,,,,,,,,,,,,,,,,,2023-24,0.5,0.0,21.5,0.0,7.95,1.0,0.0,2.65,7.6,90.0,0.0,0.0,0.0,0.0,0.0,324455.0,11.0,3.5,13019.0,18447.0,70.0,2.0,4.5,7.95,2.65,7.6,0.0,15974.0,11.0,1.5,13019.0,18447.0,0.0
457,0.0,False,2023-08-19T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,-735.0,4950.0,168.0,903.0,Donny van de Beek,49.0,MID,Man Utd,3,0.0,Arsenal,3,2,2.6737967914438503,7,0.0,0.0,8.0,162.0,3.0,40.2,11.2,54.0,0.0,21.0,10.5,0.0,0.0,0.0,0.1,51.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4760.0,0.0,0.0,84.0,451.5,50.0,1.5,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,84.0,451.5,0.0
44,7.0,True,2023-08-20T13:00:00Z,63.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,44.0,14.4,19.0,7.7,55,-27868.0,233546.0,4278.0,32146.0,Douglas Luiz Soares de Paulo,55.0,MID,Aston Villa,3,3.0,Liverpool,7,5,3.44180225281602,5,6.0,7.0,142.0,2922.0,35.0,655.4,661.6,242.0,17.0,594.0,155.8,13.0,1.0,6.0,1.0,48.0,,2023-24,0.0,0.0,20.0,0.5,18.35,2.5,0.5,6.4,26.7,76.5,0.0,0.0,0.0,0.0,0.0,244489.0,19.0,4.0,2139.0,16073.0,55.0,1.5,10.0,3.95,1.3000000000000003,17.3,13.5,10943.0,0.0,3.0,2139.0,16073.0,0.0
285,0.0,False,2023-08-20T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,-2834.0,6235.0,25.0,2859.0,Dwight McNeil,54.0,MID,Everton,3,0.0,Sheffield Utd,17,20,3.7187288708586883,0,7.0,5.0,126.0,2490.0,46.0,726.6,699.4,462.0,14.0,505.0,189.2,5.0,0.0,5.0,2.0,52.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7678.0,0.0,0.0,12.5,1429.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.0,0.0,0.0,12.5,1429.5,0.0
249,2.0,True,2023-08-21T19:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.2,22.9,23.0,5.5,65,-155238.0,1335065.0,27372.0,182610.0,Eberechi Eze,64.0,MID,Crystal Palace,3,0.0,Wolves,11,13,4.924242424242424,0,10.0,5.0,159.0,2631.0,35.0,800.4,692.8,597.0,21.0,580.0,208.9,9.0,0.0,3.0,12.8,57.0,,2023-24,0.0,0.0,17.5,0.5,59.55,0.5,0.0,10.0,11.3,90.0,0.0,0.0,0.0,0.0,0.0,1383428.5,29.0,2.5,13686.0,91305.0,65.0,1.5,3.5,36.65,4.5,2.1000000000000005,0.0,48363.5,6.0,0.5,13686.0,91305.0,0.0
12,5.0,False,2023-08-21T19:00:00Z,78.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.8,28.0,4.9,55,142472.0,488293.0,168491.0,26019.0,Eddie Nketiah,56.0,FWD,Arsenal,3,3.0,Man Utd,2,3,2.9907558455682435,1,4.0,2.0,63.0,1071.0,16.0,128.2,213.4,598.0,5.0,161.0,93.1,2.0,0.0,3.0,1.8,63.0,,2023-24,0.5,1.0,16.0,1.0,13.850000000000001,0.0,0.5,6.050000000000001,15.1,75.0,0.0,0.0,0.0,0.0,0.0,349359.5,32.0,6.5,84245.5,13009.5,55.0,3.0,10.0,7.95,1.15,15.1,3.0,138933.5,4.0,1.5,84245.5,13009.5,0.0
408,6.0,True,2023-08-19T19:00:00Z,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,12.8,10.0,0.0,2.3,55,32402.0,1469985.0,88878.0,56476.0,Ederson Santana de Moraes,56.0,GKP,Man City,3,3.0,Fulham,1,10,3.2220269478617456,0,0.0,1.0,121.0,3150.0,32.0,13.1,479.0,0.0,8.0,581.0,49.2,11.0,0.0,3.0,15.0,54.0,,2023-24,0.0,0.0,26.0,1.0,5.0,0.0,0.0,2.05,15.6,90.0,0.0,0.0,0.0,0.0,1.0,1322120.5,0.0,6.0,44439.0,28238.0,55.0,3.0,1.0,5.0,0.2499999999999999,2.799999999999999,0.0,147864.5,0.0,0.0,44439.0,28238.0,0.0
636,1.0,True,2023-08-20T15:30:00Z,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.2,0.1,0.0,0.2,50,-2135.0,8425.0,598.0,2733.0,Edson Álvarez Velázquez,50.0,MID,West Ham,3,3.0,Luton,14,20,3.8314176245210727,5,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,4.0,0.0,0.1,0.0,0.0,0.2,2.2,9.0,0.0,0.0,0.0,0.0,0.0,8425.0,0.0,1.0,598.0,2733.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,2.0,False,2023-08-25T19:00:00Z,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,11.9,4.0,1.8,50,-10646.0,82300.0,2715.0,13361.0,Elijah Adebayo,50.0,FWD,Luton,3,0.0,West Ham,20,14,2.963841138114997,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,3.0,0.0,5.95,1.5,0.0,0.9,0.8,66.0,0.0,0.0,0.0,0.0,0.0,89575.0,2.0,2.0,1357.5,6680.5,50.0,0.0,2.0,5.95,0.9,0.8,3.0,7275.0,2.0,0.0,1357.5,6680.5,0.0
