,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
47,46,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-868,3083,75,943,46,Tim Iroegbunam,44,MID,Aston Villa,Everton,Aston Villa
48,47,11,Everton,3,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,0,0,12,4.2,2.6,2.0,0.9,1,0.02,0.03,0.05,0.68,50,5,9749,1270,1265,47,Boubacar Kamara,50,MID,Aston Villa,Everton,Aston Villa
49,48,11,Everton,6,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,0,0,29,14.0,0.4,2.0,1.6,1,0.00,0.00,0.00,0.68,45,-2372,105680,6316,8688,48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,Everton,Aston Villa
50,49,11,Everton,8,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,2,2,31,22.4,0.0,0.0,2.2,1,0.00,0.00,0.00,0.68,50,-14621,717905,33535,48156,49,Emiliano Martínez Romero,50,GKP,Aston Villa,Everton,Aston Villa
51,50,11,Everton,10,True,2023-08-20T13:00:00Z,4,0,2,90,1,0,1,0,0,0,0,0,0,0,2,31,43.8,4.3,33.0,8.1,1,0.86,0.09,0.95,0.68,55,-2242,43428,2319,4561,50,John McGinn,55,MID,Aston Villa,Everton,Aston Villa
52,51,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-498244,666374,6185,504429,51,Tyrone Mings,43,DEF,Aston Villa,Everton,Aston Villa
53,53,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1642,81567,2302,3944,53,Robin Olsen,40,GKP,Aston Villa,Everton,Aston Villa
54,54,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,766,16032,2382,1616,54,Jaden Philogene-Bidace,45,MID,Aston Villa,Everton,Aston Villa
55,55,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-3793,9744,95,3888,55,Jacob Ramsey,59,MID,Aston Villa,Everton,Aston Villa
56,56,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-252,756,0,252,56,Morgan Sanson,45,MID,Aston Villa,Everton,Aston Villa
57,57,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-92,624,0,92,57,Viljami Sinisalo,40,GKP,Aston Villa,Everton,Aston Villa
58,58,11,Everton,1,True,2023-08-20T13:00:00Z,4,0,2,27,0,0,0,0,0,0,0,0,0,0,0,9,2.6,1.4,0.0,0.4,0,0.00,0.01,0.01,0.03,60,-11529,97894,3534,15063,58,Youri Tielemans,59,MID,Aston Villa,Everton,Aston Villa
59,59,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-918,1654,21,939,59,Bertrand Traoré,50,MID,Aston Villa,Everton,Aston Villa
60,60,11,Everton,5,True,2023-08-20T13:00:00Z,4,0,2,73,0,1,1,0,0,0,0,0,0,0,0,11,7.2,32.4,12.0,5.2,1,0.15,0.05,0.20,0.64,80,7626,2282862,147192,139566,60,Ollie Watkins,80,FWD,Aston Villa,Everton,Aston Villa
61,61,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-372,905,0,372,61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,Everton,Aston Villa
62,584,11,Everton,6,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,0,0,22,11.4,0.7,0.0,1.2,1,0.00,0.00,0.00,0.68,45,505,239720,17942,17437,584,Pau Torres,45,DEF,Aston Villa,Everton,Aston Villa
63,599,11,Everton,3,True,2023-08-20T13:00:00Z,4,0,2,63,0,0,1,0,0,0,0,0,0,0,0,8,8.4,25.8,37.0,7.1,1,0.34,0.18,0.52,0.64,65,196218,820818,223438,27220,599,Moussa Diaby,66,MID,Aston Villa,Everton,Aston Villa
